"","X","Gemeindekennziffer","GISD_Score","GISD_5","GISD_10","GISD_k","Name.der.Gemeinde","Jahr","Kreis","digits","Lebenserwartung_Frauen_2016","Lebenserwartung_MÃ¤nner_2016"
"208",124517,8235006,0.487220167513161,2,3,2,"Altensteig, Stadt",2016,8235,0,83.6966666666667,79.7033333333333
"209",125067,8236004,0.364789269267619,1,1,1,"Birkenfeld",2016,8236,0,84.2766666666667,80.4966666666667
"210",125683,8237002,0.479369919746155,2,3,2,"Alpirsbach, Stadt",2016,8237,0,83.2733333333333,79.34
"211",126035,8311000,0.393460187293313,1,2,1,"Freiburg im Breisgau, Stadt",2016,8311,0,83.81,79.78
"212",126057,8315003,0.463731237186685,2,3,2,"Au",2016,8315,0,84.92,80.99
"213",127157,8316002,0.463720935024262,2,3,2,"Bahlingen am Kaiserstuhl",2016,8316,0,84.1333333333333,79.8666666666667
"214",127685,8317001,0.448617964910835,2,3,2,"Achern, Stadt",2016,8317,0,83.76,79.55
"215",128807,8325001,0.479998351654012,2,3,2,"Aichhalden",2016,8325,0,83.7366666666667,79.2933333333333
"216",129269,8326003,0.508236578857902,2,4,2,"Bad Dürrheim, Stadt",2016,8326,0,83.6833333333333,79.29
"217",129709,8327002,0.525441190105803,2,4,2,"Aldingen",2016,8327,0,83.6166666666667,79.4466666666667
"218",130479,8335001,0.469758002204663,2,3,2,"Aach, Stadt",2016,8335,0,84.0066666666667,79.61
"219",131029,8336004,0.471746319552474,2,3,2,"Aitern",2016,8336,0,83.8866666666667,79.4466666666667
"220",131799,8337002,0.603098890457107,4,7,2,"Albbruck",2016,8337,0,83.8833333333333,79.2333333333333
"221",132503,8415014,0.383106514057301,1,2,1,"Dettingen an der Erms",2016,8415,0,84.5766666666667,80.11
"222",133075,8416006,0.302419977953372,1,1,1,"Bodelshausen",2016,8416,0,84.7766666666667,80.6466666666667
"223",133405,8417002,0.503487281980488,2,4,2,"Balingen, Stadt",2016,8417,0,84.2633333333333,78.9566666666667
"224",133955,8421000,0.298278508658967,1,1,1,"Ulm, Universitätsstadt",2016,8421,0,84.14,79.3666666666667
"225",133977,8425002,0.417361204116744,1,2,1,"Allmendingen",2016,8425,0,83.82,80.0766666666667
"226",135187,8426001,0.364655341156109,1,1,1,"Achstetten",2016,8426,0,84.0566666666667,79.3666666666667
"227",136177,8435005,0.261716134216572,1,1,1,"Bermatingen",2016,8435,0,84.5633333333333,80.3633333333333
"228",136683,8436001,0.42214140748143,1,2,1,"Achberg",2016,8436,0,84.1566666666667,79.69
"229",137541,8437005,0.604788445094625,4,7,2,"Beuron",2016,8437,0,83.7866666666667,79.18
"230",138091,9161000,0.145507742075062,1,1,1,"Ingolstadt",2016,9161,0,84.19,79.45
"231",138113,9162000,0.0387464328762607,1,1,1,"München, Landeshauptstadt",2016,9162,0,84.5766666666667,80.5366666666667
"232",138135,9163000,0.454387175868215,2,3,2,"Rosenheim",2016,9163,0,83.9633333333333,78.9233333333333
"233",138157,9171111,0.418648974419731,1,2,1,"Altötting, Stadt",2016,9171,0,83.5466666666667,78.4833333333333
"234",138685,9172111,0.504229037675008,2,4,2,"Ainring",2016,9172,0,84.1533333333333,79.17
"235",139015,9173111,0.34872819804877,1,1,1,"Bad Heilbrunn",2016,9173,0,83.84,79.9166666666667
"236",139477,9174111,0.310033275984629,1,1,1,"Altomünster, Markt",2016,9174,0,83.8033333333333,80.38
"237",139851,9175111,0.199758929399281,1,1,1,"Anzing",2016,9175,0,84.3966666666667,80.7433333333333
"238",140313,9176111,0.253762864825327,1,1,1,"Adelschlag",2016,9176,0,84.13,80.0333333333333
"239",140973,9177112,0.324373886078688,1,1,1,"Berglern",2016,9177,0,84.1166666666667,79.6533333333333
"240",141545,9178113,0.254669455118629,1,1,1,"Allershausen",2016,9178,0,83.9333333333333,79.7566666666667
"241",142073,9179111,0.252784159395057,1,1,1,"Adelshofen",2016,9179,0,84.2966666666667,80.6733333333333
"242",142579,9180112,0.463432474476393,2,3,2,"Bad Kohlgrub",2016,9180,0,83.82,79.63
"243",143063,9181111,0.317203581031658,1,1,1,"Apfeldorf",2016,9181,0,84.31,80.61
"244",143745,9182111,0.261355558531736,1,1,1,"Bad Wiessee",2016,9182,0,84.2633333333333,80.08
